ts,dataset,backbone,head,hidden_dim,epochs,batch_size,lr,seed,device,train_loss,train_acc,val_acc,test_acc,seconds,vqc_n_qubits,vqc_n_layers,vqc_shots
1767888659,MUTAG,gcn,mlp,64,5,32,0.001,42,cuda,0.6217189955711365,0.6933333317438761,0.5,0.6000000238418579,3.22526478767395,4,1,
1767888827,MUTAG,gcn,vqc,64,3,32,0.001,42,cpu,0.682627862294515,0.6599999968210856,0.5,0.4000000059604645,8.53835678100586,4,1,
1772554824,PROTEINS,gcn,mlp,64,3,32,0.001,42,cuda,0.6614794128396538,0.606741573837366,0.6126126222782307,0.6696428571428571,0.9677639007568359,,,
1772554889,PROTEINS,gcn,vqc,64,3,32,0.001,42,cpu,0.6784000925803453,0.5876404491703162,0.576576580335428,0.6785714285714286,48.6028687953949,4,1,
1772728942,MUTAG,gcn,mlp,64,5,32,0.001,42,cuda,0.6217189955711365,0.6933333317438761,0.5,0.6000000238418579,3.053440570831299,,,
1772728959,MUTAG,gcn,vqc,64,3,32,0.001,42,cpu,0.682627862294515,0.6599999968210856,0.5,0.4000000059604645,8.488566160202026,4,1,
1772728967,PROTEINS,gcn,mlp,64,3,32,0.001,42,cuda,0.6614794038654713,0.606741573837366,0.6126126222782307,0.6696428571428571,1.0338540077209473,,,
1772729025,PROTEINS,gcn,vqc,64,3,32,0.001,42,cpu,0.6784000925803453,0.5876404491703162,0.576576580335428,0.6785714285714286,48.39165496826172,4,1,
1772729033,MUTAG,gcn,mlp,64,5,32,0.001,7,cuda,0.6124780130386352,0.6933333317438761,0.5555555820465088,0.550000011920929,0.45928215980529785,,,
1772729049,MUTAG,gcn,vqc,64,3,32,0.001,7,cpu,0.6154959297180176,0.6933333349227905,0.5555555820465088,0.550000011920929,8.537277460098267,4,1,
1772729058,PROTEINS,gcn,mlp,64,3,32,0.001,7,cuda,0.6663498516832844,0.6000000014733733,0.5495495527714223,0.6071428571428571,0.9805517196655273,,,
1772729114,PROTEINS,gcn,vqc,64,3,32,0.001,7,cpu,0.6640050333537413,0.6000000000669715,0.5495495527714223,0.6071428571428571,48.051114082336426,4,1,
1772729121,MUTAG,gcn,mlp,64,5,32,0.001,123,cuda,0.6434396688143412,0.6533333412806193,0.6666666865348816,0.75,0.5189461708068848,,,
1772729137,MUTAG,gcn,vqc,64,3,32,0.001,123,cpu,0.662527411778768,0.6533333357175192,0.6666666865348816,0.75,7.8516645431518555,4,1,
1772729145,PROTEINS,gcn,mlp,64,3,32,0.001,123,cuda,0.6501526087857364,0.6292134830121244,0.6126126169084428,0.7232142857142857,0.8865869045257568,,,
1772729199,PROTEINS,gcn,vqc,64,3,32,0.001,123,cpu,0.6730364737885721,0.5988764040925529,0.540540544299392,0.625,46.93398857116699,4,1,
